"","cohort","mouse","day","creatinine"
"217",55,"mouse11","day6",88.15027297
"218",56,"mouse11","day5",55.2417794970987
"219",56,"mouse11","pair2",40.8060863757066
"220",56,"mouse11","day3",73.4809277362469
"221",56,"mouse11","day6",55.6363636363636
"222",56,"mouse11","day2",53.8336208548974
"223",56,"mouse11","day11",74.8251748251748
"224",56,"mouse11","pair1",101.005164296304
"225",56,"mouse11","day9",63.6013986013986
"226",56,"mouse11","day4",74.9709864603481
"227",56,"mouse11","day13",42.2138238011254
"228",56,"mouse11","pair3",39.594024404151
"229",56,"mouse11","day1",73.4809277362469
"230",56,"mouse11","day19",65.7692307692308
"231",56,"mouse11","day15",40.9842949525489
"232",56,"mouse11","day7",72.2062937062937
"233",56,"mouse11","day17",29.0988494163097
"234",57,"mouse11","day5",74.7742399712178
"235",57,"mouse11","day4",64.9055585536967
"236",57,"mouse11","day3",79.2196209587514
"237",57,"mouse11","day13",48.2490272373541
"238",57,"mouse11","day15",37.3540856031128
"239",57,"mouse11","day2",71.0646599777034
"240",57,"mouse11","day17",48.6381322957198
"241",57,"mouse11","day19",33.4782608695652
"242",57,"mouse11","day6",78.9494513401691
"243",57,"mouse11","day9",59.7084790937865
"244",57,"mouse11","day1",70.2879970271275
"245",57,"mouse11","day11",77.2938530734633
"246",57,"mouse11","pair3",43.5138339920949
"247",57,"mouse11","day7",56.8457437947693
"248",57,"mouse11","pair2",24.3517786561265
"249",57,"mouse11","pair1",67.4664031620553
"250",58,"mouse11","day7",73.8324377137274
"251",58,"mouse11","day3",91.501520844516
"252",58,"mouse11","day6",74.1346801346801
"253",58,"mouse11","day11",72.9482169027846
"254",58,"mouse11","day17",78.0765550239234
"255",58,"mouse11","day13",78.0765550239234
"256",58,"mouse11","day2",81.2503131150474
"257",58,"mouse11","day1",67.5820361424226
"258",58,"mouse11","day4",88.8148148148148
"259",58,"mouse11","pair1",75.3619047619048
"260",58,"mouse11","day9",80.4640937957987
"261",58,"mouse11","day5",89.9158249158249
"262",58,"mouse11","day15",98.4784688995215
"263",58,"mouse11","day19",74.3478260869565
