"","cohort","mouse","day","MUPs"
"304",55,"mouse12","day19",112.2667052
"305",55,"mouse12","day3",21.08584979
"306",55,"mouse12","day4",26.95141242
"307",55,"mouse12","day15",66.92039133
"308",55,"mouse12","day17",43.93717347
"309",55,"mouse12","day2",20.90104688
"310",55,"mouse12","day13",63.26410477
"311",55,"mouse12","day1",27.04481545
"312",55,"mouse12","pair2",16.8513611
"313",55,"mouse12","day11",19.51888535
"314",55,"mouse12","pair3",22.14389705
"315",55,"mouse12","day7",26.21682946
"316",55,"mouse12","day9",20.72990708
"317",56,"mouse12","day4",19.62245779
"318",56,"mouse12","day15",43.84792913
"319",56,"mouse12","day2",22.00178362
"320",56,"mouse12","day3",20.65245978
"321",56,"mouse12","day13",52.37503746
"322",56,"mouse12","day7",15.07506853
"323",56,"mouse12","day17",33.6267019
"324",56,"mouse12","day1",21.24728692
"325",56,"mouse12","day5",16.59440036
"326",56,"mouse12","day19",21.50452796
"327",56,"mouse12","day9",12.74358524
"328",56,"mouse12","day11",18.28924511
"329",56,"mouse12","pair2",10.70505664
"330",56,"mouse12","day6",19.01875935
"331",56,"mouse12","pair1",4.485117138
"332",56,"mouse12","pair3",25.40480369
"333",57,"mouse12","pair2",20.05854897
"334",57,"mouse12","pair3",20.28684476
"335",57,"mouse12","day19",37.18463669
"336",57,"mouse12","day7",21.49471134
"337",57,"mouse12","day11",30.57237491
"338",57,"mouse12","day17",24.26991606
"339",57,"mouse12","day6",14.96578721
"340",57,"mouse12","day15",38.93713234
"341",57,"mouse12","pair1",17.07134441
"342",57,"mouse12","day1",21.2512719
"343",57,"mouse12","day13",27.85841438
"344",57,"mouse12","day3",18.75098808
"345",57,"mouse12","day9",32.17235323
"346",57,"mouse12","day5",15.76868108
"347",57,"mouse12","day2",19.11741964
"348",57,"mouse12","day4",18.83347572
"349",58,"mouse12","pair2",18.75774177
"350",58,"mouse12","day5",12.90572512
"351",58,"mouse12","day17",12.75509696
"352",58,"mouse12","day19",13.9762014
"353",58,"mouse12","pair1",9.983990962
"354",58,"mouse12","day13",11.78957242
"355",58,"mouse12","day11",19.18167676
"356",58,"mouse12","day6",11.86185134
"357",58,"mouse12","day7",16.0352311
"358",58,"mouse12","day9",14.65287015
"359",58,"mouse12","pair3",14.24953702
"360",58,"mouse12","day15",12.89392971
"361",58,"mouse12","day2",13.18371349
"362",58,"mouse12","day3",11.7196351
"363",58,"mouse12","day4",12.156392
"364",58,"mouse12","day1",11.66306868
"365",53,"mouse2","day4",13.45023969
"366",53,"mouse2","day6",15.34957494
"367",53,"mouse2","day11",14.36024216
"368",53,"mouse2","day10",12.72678027
"369",53,"mouse2","day13",11.0539281
"370",53,"mouse2","day14",8.132157656
"371",53,"mouse2","day5",17.4749521
"372",53,"mouse2","day12",10.53400242
"373",53,"mouse2","day17",17.89512852
"374",53,"mouse2","day19",11.4963264
"375",53,"mouse2","day7",17.06154944
"376",53,"mouse2","day9",16.6823552
"377",53,"mouse2","pair1",5.951400828
"378",53,"mouse2","day1",15.59184715
"379",53,"mouse2","day2",18.57889888
"380",53,"mouse2","day15",8.525765857
"381",53,"mouse2","day3",10.95589607
"382",53,"mouse2","pair2",17.09870471
"383",53,"mouse2","pair3",15.01804035
"384",54,"mouse2","pair3",NA
"385",54,"mouse2","pair2",NA
"386",54,"mouse2","day13",14.42177605
"387",54,"mouse2","day1",10.53739654
"388",54,"mouse2","day4",10.54284501
"389",54,"mouse2","pair1",NA
"390",54,"mouse2","day5",7.281348779
"391",54,"mouse2","day15",11.02331554
"392",54,"mouse2","day17",8.244649468
"393",54,"mouse2","day3",8.641350723
"394",54,"mouse2","day11",11.15142803
"395",54,"mouse2","day6",10.83865248
"396",54,"mouse2","day7",8.284789255
"397",54,"mouse2","day9",11.65069462
"398",54,"mouse2","day2",6.851660228
"399",54,"mouse2","day19",14.10032511
"400",55,"mouse2","pair1",11.9451959
"401",55,"mouse2","pair3",17.4057308
"402",55,"mouse2","day4",9.740423719
"403",55,"mouse2","day9",12.20581722
"404",55,"mouse2","pair2",8.088262534
"405",55,"mouse2","day6",13.576284
"406",55,"mouse2","day7",11.16070338
"407",55,"mouse2","day17",29.22486822
"408",55,"mouse2","day11",10.14610317
"409",55,"mouse2","day13",18.56515568
"410",55,"mouse2","day15",26.69973018
"411",55,"mouse2","day2",12.76931917
"412",55,"mouse2","day3",12.41023877
"413",55,"mouse2","day1",12.47079665
"414",55,"mouse2","day5",9.77037559
"415",55,"mouse2","day19",78.40640907
"416",56,"mouse2","day4",13.70291618
"417",56,"mouse2","day5",15.40621634
"418",56,"mouse2","day3",16.37193471
"419",56,"mouse2","day1",21.4602235
"420",56,"mouse2","day11",18.89306385
"421",56,"mouse2","day6",14.089055
"422",56,"mouse2","day7",23.00283647
"423",56,"mouse2","pair1",4.034369349
"424",56,"mouse2","day13",31.85576942
"425",56,"mouse2","pair3",16.14180983
"426",56,"mouse2","day9",15.57918399
"427",56,"mouse2","day2",14.78233787
"428",56,"mouse2","pair2",10.65823418
"429",56,"mouse2","day19",32.4291379
"430",56,"mouse2","day15",56.32464836
"431",56,"mouse2","day17",37.86301163
"432",57,"mouse2","day1",13.0803398
"433",57,"mouse2","pair3",19.5413656
"434",57,"mouse2","day19",17.32237366
"435",57,"mouse2","day4",13.59948218
"436",57,"mouse2","day5",12.02169792
"437",57,"mouse2","day2",12.50431051
"438",57,"mouse2","day7",11.62862738
"439",57,"mouse2","pair2",22.44873462
"440",57,"mouse2","day15",12.52588842
"441",57,"mouse2","day6",13.87952083
"442",57,"mouse2","day17",15.19411333
"443",57,"mouse2","pair1",15.80193289
"444",57,"mouse2","day13",16.60752565
"445",57,"mouse2","day9",10.39939885
"446",57,"mouse2","day3",10.12874197
"447",57,"mouse2","day11",10.89444326
"448",58,"mouse2","pair3",23.44944349
"449",58,"mouse2","day19",33.1252118
"450",58,"mouse2","day17",29.79737925
"451",58,"mouse2","day5",15.19822237
"452",58,"mouse2","pair2",16.94256821
"453",58,"mouse2","day2",37.78602172
"454",58,"mouse2","day3",20.0757807
"455",58,"mouse2","day4",15.44451889
"456",58,"mouse2","day1",32.05147246
"457",58,"mouse2","pair1",14.50739381
"458",58,"mouse2","day15",20.8195399
"459",58,"mouse2","day11",20.55529983
"460",58,"mouse2","day13",25.4606471
"461",58,"mouse2","day9",15.18130713
"462",58,"mouse2","day6",11.7582798
"463",58,"mouse2","day7",16.52840434
"464",53,"mouse3","day6",12.47110391
"465",53,"mouse3","pair3",22.38256842
"466",53,"mouse3","pair1",4.949180981
"467",53,"mouse3","day3",9.441576863
"468",53,"mouse3","day4",11.48104126
"469",53,"mouse3","day1",13.57016069
"470",53,"mouse3","day2",12.4130528
"471",53,"mouse3","day10",8.234783441
"472",53,"mouse3","pair2",12.36754533
"473",53,"mouse3","day5",9.013195539
"474",53,"mouse3","day13",NA
"475",53,"mouse3","day14",9.757812946
"476",53,"mouse3","day15",10.7933919
"477",53,"mouse3","day12",13.79590922
"478",53,"mouse3","day19",13.71426718
"479",53,"mouse3","day9",NA
"480",53,"mouse3","day17",19.09278968
"481",53,"mouse3","day7",9.02714073
"482",53,"mouse3","day11",NA
"483",54,"mouse3","day17",13.136439
"484",54,"mouse3","day15",16.71192326
"485",54,"mouse3","day5",7.793895005
"486",54,"mouse3","day7",11.80196978
"487",54,"mouse3","pair1",11.75504249
"488",54,"mouse3","day3",11.24817936
"489",54,"mouse3","day9",11.4287163
"490",54,"mouse3","day11",14.16120995
"491",54,"mouse3","day13",20.0484121
"492",54,"mouse3","day1",11.21068809
"493",54,"mouse3","pair2",8.804561547
"494",54,"mouse3","pair3",16.26581482
"495",54,"mouse3","day4",11.23916618
"496",54,"mouse3","day6",13.57376111
"497",54,"mouse3","day2",7.985946632
"498",54,"mouse3","day19",15.66117086
"499",55,"mouse3","day4",40.46252536
"500",55,"mouse3","day5",65.66453087
