"","cohort","mouse","day","protein"
"189",54,"mouse11","day17",12.70552519
"190",54,"mouse11","pair2",5.845634383
"191",54,"mouse11","day7",6.75869419
"192",54,"mouse11","day3",9.361819396
"193",54,"mouse11","pair3",9.696209141
"194",54,"mouse11","day6",7.470233265
"195",54,"mouse11","day13",13.1772728
"196",54,"mouse11","day9",8.316148843
"197",54,"mouse11","day4",7.986635411
"198",54,"mouse11","pair1",7.905953653
"199",54,"mouse11","day11",7.649098913
"200",54,"mouse11","day15",13.11032214
"201",54,"mouse11","day19",13.01102507
"202",55,"mouse11","day15",11.10353762
"203",55,"mouse11","pair2",8.21580662
"204",55,"mouse11","day2",9.746852156
"205",55,"mouse11","day3",10.08598729
"206",55,"mouse11","day17",8.640224231
"207",55,"mouse11","day13",9.124470524
"208",55,"mouse11","day9",10.70542929
"209",55,"mouse11","day11",11.60044719
"210",55,"mouse11","day4",9.873211844
"211",55,"mouse11","day19",8.640224231
"212",55,"mouse11","pair1",5.754605008
"213",55,"mouse11","day7",10.58636629
"214",55,"mouse11","pair3",12.28153613
"215",55,"mouse11","day1",10.19343082
"216",55,"mouse11","day5",9.830985333
"217",55,"mouse11","day6",10.19343082
"218",56,"mouse11","day5",10.86885069
"219",56,"mouse11","pair2",5.811771968
"220",56,"mouse11","day3",12.83621907
"221",56,"mouse11","day6",11.12194539
"222",56,"mouse11","day2",12.27477345
"223",56,"mouse11","day11",11.31510124
"224",56,"mouse11","pair1",2.216979395
"225",56,"mouse11","day9",9.393165345
"226",56,"mouse11","day4",11.69964559
"227",56,"mouse11","day13",16.15084028
"228",56,"mouse11","pair3",9.305118386
"229",56,"mouse11","day1",11.50364125
"230",56,"mouse11","day19",14.06413617
"231",56,"mouse11","day15",14.24975916
"232",56,"mouse11","day7",10.33490807
"233",56,"mouse11","day17",14.86314922
"234",57,"mouse11","day5",8.35031160201219
"235",57,"mouse11","day4",7.48149403925984
"236",57,"mouse11","day3",8.82937554036245
"237",57,"mouse11","day13",7.49576450214533
"238",57,"mouse11","day15",6.91614885218219
"239",57,"mouse11","day2",8.59202528618674
"240",57,"mouse11","day17",7.23969397715618
"241",57,"mouse11","day19",7.7258673003165
"242",57,"mouse11","day6",8.41423001725999
"243",57,"mouse11","day9",7.86433649937076
"244",57,"mouse11","day1",8.68803008840892
"245",57,"mouse11","day11",8.53959666371134
"246",57,"mouse11","pair3",7.86645585903696
"247",57,"mouse11","day7",8.07435394483773
"248",57,"mouse11","pair2",3.33570431857927
"249",57,"mouse11","pair1",6.06829440735054
