Timestamp,Actor,Behavior,Recipient,Location,Outside assigned observation time
1/2/2016 14:12,3,"Chasing, Mounting",5,UR,
1/2/2016 14:12,3,"Fighting, Chasing",5,UR,
1/2/2016 14:18,3,Fighting,2,MR,
1/2/2016 14:19,3,"Fighting, Chasing",12,UL,
1/2/2016 14:19,3,"Fighting, Chasing",5,UR,
1/2/2016 14:19,3,Fighting,2,UR,
1/2/2016 14:20,3,Fighting,12,UL,
1/2/2016 14:20,3,"Fighting, Chasing",2,UL,
1/2/2016 14:20,3,Fighting,9,MR,
1/2/2016 14:21,3,Induce-flee,11,LR,
1/2/2016 14:21,3,Chasing,2,LL,
1/2/2016 14:21,3,"Fighting, Chasing",2,LR,
1/2/2016 14:22,3,"Fighting, Chasing",5,UL,
1/2/2016 14:22,3,"Fighting, Chasing",9,UR,
1/2/2016 14:23,3,Fighting,12,NB1,
1/2/2016 14:23,3,Chasing,12,NB1,
1/2/2016 14:25,3,"Fighting, Chasing",5,UL,
1/2/2016 14:26,3,Chasing,7,LL,
1/2/2016 14:26,3,Fighting,7,LL,
1/2/2016 14:30,12,Chasing,10,UR,
1/2/2016 14:36,8,Fighting,10,UR,
1/2/2016 14:36,3,Fighting,10,NB5,
1/2/2016 14:41,3,Fighting,10,UR,
1/2/2016 14:41,3,Fighting,10,UR,
1/2/2016 14:41,3,Fighting,12,LR,
1/2/2016 14:43,3,Subordinate,8,UR,
1/2/2016 14:44,3,Subordinate,9,LR,
1/2/2016 14:46,3,Fighting,2,UL,
1/2/2016 14:46,3,Subordinate,11,LR,
1/2/2016 14:47,3,Fighting,5,UR,
1/2/2016 14:47,3,Subordinate,11,LR,
1/2/2016 14:50,3,Fighting,11,LR,
1/2/2016 14:50,3,Fighting,4,UR,
1/2/2016 14:51,3,Chasing,4,UR,
1/2/2016 14:56,3,Subordinate,11,LR,
1/2/2016 14:56,3,Chasing,12,UL,
1/2/2016 14:57,3,Subordinate,11,LL,
1/2/2016 14:57,3,Chasing,11,LL,
1/2/2016 14:58,3,Fighting,12,LL,
1/2/2016 14:59,End,End,End,End,
1/2/2016 15:25,11,Chasing,9,LR,Yes
1/2/2016 15:25,9,Chasing,11,LL,Yes
1/2/2016 15:49,7,Fighting,9,NB5,Yes
1/2/2016 16:21,4,Fighting,11,UR,Yes
1/3/2016 13:09,3,Fighting,5,LR,Yes
1/3/2016 13:23,3,Chasing,9,NB2,Yes
1/3/2016 13:54,3,Fighting,1,UR,Yes
1/3/2016 13:54,3,Subordinate,8,UR,Yes
1/3/2016 13:59,Start,Start,Start,Start,
1/3/2016 14:03,8,Fighting,7,UL,
1/3/2016 14:05,3,Fighting,6,UL,
1/3/2016 14:06,3,Subordinate,7,UR,
1/3/2016 14:06,3,Fighting,6,NB1,
1/3/2016 14:09,3,Chasing,11,ML,
1/3/2016 14:09,3,Subordinate,9,ML,
1/3/2016 14:10,3,Chasing,12,LR,
1/3/2016 14:11,3,Chasing,9,LL,
1/3/2016 14:12,3,Chasing,12,UL,
1/3/2016 14:14,8,Fighting,7,LR,
1/3/2016 14:14,3,Fighting,8,LR,
1/3/2016 14:14,3,Chasing,10,NB4,
1/3/2016 14:14,3,Fighting,5,NB5,
1/3/2016 14:15,3,"Chasing, Mounting",8,LL,
1/3/2016 14:18,3,Fighting,8,LR,
1/3/2016 14:21,3,Fighting,9,UL,
1/3/2016 14:22,3,Fighting,6,UR,
1/3/2016 14:22,3,Fighting,6,UL,
1/3/2016 14:30,3,Chasing,8,UL,
1/3/2016 14:33,3,Fighting,7,LL,
1/3/2016 14:33,3,Fighting,1,LR,
1/3/2016 14:34,3,Fighting,5,LR,
1/3/2016 14:34,3,Fighting,7,NB2,
1/3/2016 14:34,3,Fighting,5,LL,
1/3/2016 14:34,3,Fighting,5,LL,
1/3/2016 14:35,6,Chasing,11,UR,
1/3/2016 14:36,3,Fighting,5,ML,
1/3/2016 14:36,6,Fighting,11,UR,
1/3/2016 14:37,3,Fighting,6,UR,
1/3/2016 14:37,3,Fighting,6,LL,
1/3/2016 14:37,3,Fighting,6,LL,
1/3/2016 14:47,8,Induce-flee,6,LL,
1/3/2016 14:47,3,Fighting,1,UR,
1/3/2016 14:54,1,Fighting,8,MR,
1/3/2016 14:54,6,Fighting,10,UR,
1/3/2016 14:56,6,Chasing,10,UR,
1/3/2016 14:57,1,Chasing,8,UR,
1/3/2016 14:59,End,End,End,End,
1/4/2016 11:00,Start,Start,Start,Start,
1/4/2016 11:02,2,Fighting,11,NB4,
1/4/2016 11:02,4,Fighting,11,NB4,
1/4/2016 11:03,3,Fighting,5,LL,
1/4/2016 11:03,3,Fighting,9,MR,
1/4/2016 11:05,1,Subordinate,5,NB3,
1/4/2016 11:07,12,Chasing,11,LR,
1/4/2016 11:08,4,Fighting,10,NB3,
1/4/2016 11:08,4,Subordinate,1,NB3,
1/4/2016 11:08,4,Chasing,10,NB3,
1/4/2016 11:09,11,Fighting,10,NB3,
1/4/2016 11:09,3,Fighting,7,LL,
1/4/2016 11:12,2,Fighting,11,LL,
1/4/2016 11:13,3,Chasing,9,NB5,
1/4/2016 11:14,3,Chasing,6,LR,
1/4/2016 11:16,3,Fighting,10,UR,
1/4/2016 11:17,3,Fighting,9,UR,
1/4/2016 11:17,12,Fighting,11,LL,
1/4/2016 11:17,12,Fighting,11,LR,
1/4/2016 11:18,12,Fighting,11,NB2,
1/4/2016 11:18,3,Fighting,9,UL,
1/4/2016 11:18,3,Fighting,2,UR,
1/4/2016 11:19,3,Fighting,12,NB2,
1/4/2016 11:19,3,Fighting,8,LR,
1/4/2016 11:21,3,Fighting,12,NB3,
1/4/2016 11:21,3,Fighting,4,NB4,
1/4/2016 11:22,3,Fighting,2,LL,
1/4/2016 11:22,3,Fighting,5,MR,
1/4/2016 11:23,3,Fighting,10,LR,
1/4/2016 11:23,3,Subordinate,5,NB5,
1/4/2016 11:25,3,Subordinate,5,LL,
1/4/2016 11:25,3,Chasing,11,LL,
1/4/2016 11:25,3,Fighting,10,LR,
1/4/2016 11:25,3,Fighting,5,LL,
1/4/2016 11:25,3,Fighting,12,LR,
1/4/2016 11:25,3,Fighting,2,LR,
1/4/2016 11:26,3,Subordinate,12,LR,
1/4/2016 11:26,3,Chasing,9,UR,
1/4/2016 11:26,8,Chasing,11,UL,
1/4/2016 11:27,3,Fighting,6,UL,
1/4/2016 11:29,3,Fighting,5,MR,
1/4/2016 11:30,2,Chasing,10,LR,
1/4/2016 11:31,3,Chasing,7,ML,
1/4/2016 11:31,3,Fighting,5,MR,
1/4/2016 11:32,2,Fighting,10,NB5,
1/4/2016 11:33,3,Fighting,6,UR,
1/4/2016 11:34,3,Fighting,10,UL,
1/4/2016 11:34,2,Fighting,11,LL,
1/4/2016 11:34,2,Fighting,11,LL,
1/4/2016 11:35,3,Fighting,6,NB5,
1/4/2016 11:37,4,Fighting,10,NB3,
1/4/2016 11:37,4,Fighting,11,NB3,
1/4/2016 11:37,3,Fighting,1,UR,
1/4/2016 11:38,4,Fighting,1,NB3,
1/4/2016 11:39,2,Fighting,10,NB3,
1/4/2016 11:39,11,Fighting,10,NB3,
1/4/2016 11:40,2,Fighting,4,NB3,
1/4/2016 11:41,3,Fighting,1,ML,
1/4/2016 11:43,3,Fighting,4,UR,
1/4/2016 11:43,3,Chasing,8,UL,
1/4/2016 11:44,3,Fighting,2,UR,
1/4/2016 11:44,3,Fighting,9,LR,
1/4/2016 11:44,3,Fighting,8,MR,
1/4/2016 11:45,3,Subordinate,7,LL,
1/4/2016 11:46,3,Fighting,4,LL,
1/4/2016 11:46,3,Subordinate,6,NB4,
1/4/2016 11:46,3,Fighting,1,NB4,
1/4/2016 11:48,3,Chasing,8,NB1,
1/4/2016 11:48,3,Fighting,2,LL,
1/4/2016 11:50,3,Fighting,10,MR,
1/4/2016 11:50,3,Fighting,10,LR,
1/4/2016 11:51,3,Fighting,5,LR,
1/4/2016 11:51,3,Fighting,9,LL,
1/4/2016 11:51,3,Subordinate,9,LR,
1/4/2016 11:52,1,Fighting,5,NB4,
1/4/2016 11:57,3,Induce-flee,5,LR,
1/4/2016 11:59,End,End,End,End,
1/5/2016 11:28,4,Fighting,10,UR,Yes
1/5/2016 11:29,12,Fighting,4,UR,Yes
1/5/2016 11:29,7,Fighting,6,MR,Yes
1/5/2016 11:33,12,Chasing,1,MR,Yes
1/5/2016 11:34,6,Fighting,4,UR,Yes
1/5/2016 11:34,6,Fighting,4,UR,Yes
1/5/2016 11:35,6,Fighting,4,UR,Yes
1/5/2016 11:37,2,Fighting,10,NB2,Yes
1/5/2016 11:59,Start,Start,Start,Start,
1/5/2016 12:01,3,Chasing,12,LR,
1/5/2016 12:12,3,Fighting,12,LR,
1/5/2016 12:20,3,Fighting,10,UL,
1/5/2016 12:21,3,Fighting,7,NB1,
1/5/2016 12:29,2,Fighting,10,LR,
1/5/2016 12:31,3,Chasing,12,LR,
1/5/2016 12:33,3,Chasing,2,LR,
1/5/2016 12:35,3,Fighting,2,LL,
1/5/2016 12:37,3,Fighting,10,LR,
1/5/2016 12:38,3,Chasing,10,MR,
1/5/2016 12:40,3,Chasing,12,MR,
1/5/2016 12:41,3,Fighting,12,MR,
1/5/2016 12:46,3,Fighting,10,LR,
1/5/2016 12:46,3,Fighting,9,LL,
1/5/2016 12:49,3,Fighting,10,LL,
1/5/2016 12:50,3,Fighting,10,UR,
1/5/2016 12:50,3,Fighting,1,UR,
1/5/2016 12:51,3,Chasing,10,ML,
1/5/2016 12:52,3,Chasing,2,NB1,
1/5/2016 12:59,3,Fighting,1,MR,
1/5/2016 12:54,3,Chasing,12,LR,
1/5/2016 12:59,End,End,End,End,
1/5/2016 13:00,Start,Start,Start,Start,
1/5/2016 13:08,3,Chasing,1,UR,
1/5/2016 13:09,3,Induce-flee,8,LR,
1/5/2016 13:11,3,"Fighting, Chasing",1,UR,
1/5/2016 13:17,3,Chasing,1,UR,
1/5/2016 13:17,3,Fighting,1,LR,
1/5/2016 13:18,3,"Fighting, Chasing",1,UR,
1/5/2016 14:00,End,End,End,End,
1/6/2016 10:59,12,Fighting,7,LR,Yes
1/6/2016 11:02,4,Fighting,7,UR,Yes
1/6/2016 11:03,4,Fighting,7,UR,Yes
1/6/2016 11:06,12,Fighting,7,LL,Yes
1/6/2016 11:24,4,Fighting,10,NB2,Yes
1/6/2016 11:42,4,Fighting,1,NB3,Yes
1/6/2016 11:43,4,Fighting,5,NB1,Yes
1/6/2016 11:59,Start,Start,Start,Start,
1/6/2016 12:11,3,Induce-flee,2,LL,
1/6/2016 12:15,9,Subordinate,2,NB4,
1/6/2016 12:16,2,Chasing,10,NB5,
1/6/2016 12:23,3,Fighting,7,NB1,
1/6/2016 12:25,3,Fighting,10,NB5,
1/6/2016 12:26,3,Chasing,10,LL,
1/6/2016 12:29,3,Chasing,11,LR,
1/6/2016 12:43,12,Fighting,8,LL,
1/6/2016 12:43,12,Fighting,10,NB3,
1/6/2016 12:45,3,Chasing,12,ML,
1/6/2016 12:50,3,Fighting,9,LL,
1/6/2016 12:52,3,Fighting,10,NB3,
1/6/2016 12:56,3,Chasing,10,ML,
1/6/2016 12:59,3,Subordinate,1,NB4,
1/6/2016 12:59,3,Subordinate,1,NB5,
1/6/2016 13:00,End,End,End,End,
1/7/2016 11:00,Start,Start,Start,Start,
1/7/2016 11:01,3,Chasing,9,LR,
1/7/2016 11:04,2,Fighting,11,LL,
1/7/2016 11:04,2,Fighting,11,LL,
1/7/2016 11:05,3,Fighting,1,LR,
1/7/2016 11:06,3,Fighting,5,LR,
1/7/2016 11:08,3,Chasing,10,UR,
1/7/2016 11:08,3,Induce-flee,6,LR,
1/7/2016 11:09,3,Fighting,9,LR,
1/7/2016 11:11,12,Induce-flee,11,LR,
1/7/2016 11:11,12,Fighting,1,LL,
1/7/2016 11:11,3,Subordinate,12,LL,
1/7/2016 11:12,3,Chasing,9,LL,
1/7/2016 11:14,12,Chasing,1,ML,
1/7/2016 11:15,2,Fighting,10,NB1,
1/7/2016 11:15,2,Chasing,1,NB4,
1/7/2016 11:16,12,Fighting,7,LR,
1/7/2016 11:16,3,Fighting,12,LR,
1/7/2016 11:18,2,Fighting,11,LL,
1/7/2016 11:18,2,Fighting,11,LL,
1/7/2016 11:20,8,Fighting,7,LL,
1/7/2016 11:20,8,Chasing,7,LL,
1/7/2016 11:20,3,Fighting,1,UL,
1/7/2016 11:21,12,Chasing,1,UR,
1/7/2016 11:22,3,Fighting,6,NB3,
1/7/2016 11:22,8,Subordinate,11,LL,
1/7/2016 11:23,3,Induce-flee,8,LL,
1/7/2016 11:24,3,Fighting,2,LL,
1/7/2016 11:25,3,Fighting,1,UL,
1/7/2016 11:25,3,Chasing,1,LR,
1/7/2016 11:26,9,Fighting,10,UL,
1/7/2016 11:27,10,Fighting,6,UR,
1/7/2016 11:30,2,Fighting,1,LL,
1/7/2016 11:31,2,Fighting,10,LL,
1/7/2016 11:32,3,Chasing,6,ML,
1/7/2016 11:32,3,Subordinate,6,MR,
1/7/2016 11:33,3,Chasing,8,MR,
1/7/2016 11:33,12,Chasing,6,LL,
1/7/2016 11:33,3,Fighting,12,LL,
1/7/2016 11:39,8,Fighting,11,ML,
1/7/2016 11:39,7,Chasing,11,LL,
1/7/2016 11:42,3,Fighting,1,UL,
1/7/2016 11:43,3,Fighting,6,UR,
1/7/2016 11:43,3,Fighting,5,UR,
1/7/2016 11:44,3,Subordinate,11,LL,
1/7/2016 11:46,3,Chasing,12,LL,
1/7/2016 11:46,3,Fighting,11,LL,
1/7/2016 11:46,8,Fighting,9,UR,
1/7/2016 11:47,3,Subordinate,5,LR,
1/7/2016 11:47,3,Chasing,12,LR,
1/7/2016 11:47,3,Chasing,9,LR,
1/7/2016 11:48,3,Subordinate,8,LL,
1/7/2016 11:49,4,Fighting,11,NB2,
1/7/2016 11:50,4,Fighting,7,NB2,
1/7/2016 11:50,4,Fighting,10,NB2,
1/7/2016 11:51,12,Chasing,1,LL,
1/7/2016 11:55,3,Fighting,5,LL,
1/7/2016 11:59,End,End,End,End,
1/8/2016 18:00,Start,Start,Start,Start,
1/8/2016 18:21,3,Mounting,11,LL,
1/8/2016 18:24,7,Induce-flee,11,LL,
1/8/2016 18:39,7,Chasing,6,NB3,
1/8/2016 19:00,End,End,End,End,
1/9/2016 11:01,Start,Start,Start,Start,Yes
1/9/2016 11:03,3,Chasing,12,ML,Yes
1/9/2016 11:03,3,Fighting,10,NB1,Yes
1/9/2016 11:06,3,Fighting,5,MR,Yes
1/9/2016 11:06,3,Chasing,1,ML,Yes
